778  3
-0.057647  0.005058  -0.015490
-0.064855  0.005059  -0.016555
-0.065712  0.001358  -0.015445
-0.071785  0.005387  -0.017596
-0.070611  0.002508  -0.016380
-0.072083  -0.000412  -0.012887
-0.076249  0.005425  -0.016495
-0.076608  0.007748  -0.015816
-0.077970  0.004159  -0.012595
-0.074435  0.003003  -0.016035
-0.075801  0.001706  -0.012911
-0.021354  -0.000605  -0.021077
-0.019209  -0.003469  -0.025519
-0.014769  -0.003530  -0.023879
-0.017153  -0.000486  -0.019572
-0.020751  0.012233  -0.023594
-0.022297  0.008559  -0.020587
-0.018498  0.008916  -0.019031
-0.015919  0.012911  -0.021869
-0.020264  0.012917  -0.029143
-0.013579  0.013684  -0.027239
-0.011080  0.014127  -0.020564
-0.014370  0.009494  -0.017793
0.000150  0.009164  -0.013246
0.002105  0.014636  -0.017109
-0.022179  0.003801  -0.019991
-0.018690  0.004004  -0.018471
-0.008076  -0.002537  -0.030909
-0.009298  -0.004647  -0.026735
-0.013135  -0.003572  -0.029051
-0.012320  -0.001281  -0.032643
0.003615  -0.001429  -0.012418
0.007464  -0.003116  -0.017213
0.000327  0.003049  -0.011943
-0.007365  0.003328  -0.033727
-0.006646  0.010412  -0.032411
0.007224  0.009717  -0.028870
0.008174  0.003595  -0.028434
-0.015166  0.004324  -0.016879
-0.010899  -0.004158  -0.021800
-0.013845  -0.000980  -0.017809
-0.008385  0.014158  -0.026162
-0.012251  0.010120  -0.033179
-0.032600  0.004782  -0.039812
-0.016398  0.004211  -0.036258
-0.017096  -0.001218  -0.034074
-0.033055  0.000452  -0.039487
-0.012268  0.003855  -0.035280
-0.017526  0.009959  -0.034464
-0.036775  -0.001733  -0.026860
-0.034752  -0.003962  -0.031355
-0.036059  0.002119  -0.024948
0.005106  0.015467  -0.023584
0.009046  -0.001964  -0.024325
-0.035636  0.009112  -0.027230
-0.036083  0.005465  -0.025059
-0.017610  -0.003483  -0.030548
-0.033630  -0.003053  -0.036589
-0.032334  0.008911  -0.037497
-0.033259  0.011436  -0.032116
-0.036839  0.007903  -0.039019
-0.037687  0.010229  -0.033565
-0.040282  0.008608  -0.028702
